song_id,song_name,song_type,explicit,entry_year,exit_year,n_years_on_chart,years_on_chart,weeks_on_chart,song_rank_entry,song_rank_peak,song_rank_final,entry_week,exit_week,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
4hupcimlg3UBbW1kAQ6vrT,Ruby Tuesday,Solo,FALSE,1967,1967,1,1967,12,23,100,54,1967-01-21,1967-04-08,196493,0.834,0.518,0.543,0,0.2,-10.766,0.0297,0.579,104.528
4hvbI3SydZQ66lNlWs8hz6,Ode To The Little Brown Shack Out Back,Solo,FALSE,1965,1965,1,1965,7,3,51,34,1965-01-02,1965-02-13,170880,0.693,0.47,0.321,0,0.35,-13.241,0.0474,0.398,106.634
4hvnUallKtXlZbs6cl4rfB,The Dedication Song,Solo,FALSE,1966,1966,1,1966,6,22,60,54,1966-02-19,1966-03-26,177107,0.539,0.471,0.9,3.19e-5,0.335,-2.887,0.136,0.945,148.432
4hxfqUojJ5u9SyAjiXevmy,Hardaway,Solo,TRUE,2018,2018,1,2018,11,11,40,1,2018-02-17,2018-04-28,236032,0.118,0.537,0.518,0,0.146,-5.987,0.188,0.427,132.527
4hyD4yiiInjwVfyTesMS7f,I Will...But,Solo,FALSE,2000,2000,1,2000,20,23,58,14,2000-07-15,2000-11-25,210416,0.419,0.602,0.518,0,0.345,-10.782,0.0357,0.754,112.465
4i0DP70a8VGndDUXrjnylX,Who Said,Solo,FALSE,2006,2007,2,2006;2007,4,9,18,17,2006-08-05,2007-01-13,193573,0.00317,0.587,0.905,0.00242,0.143,-4.603,0.0439,0.489,133.07
4i2WUspbfNZCnhkypoFKrM,Feelin' Way Too Damn Good,Solo,FALSE,2004,2004,1,2004,16,28,53,6,2004-07-03,2004-10-16,256453,7.22e-4,0.51,0.818,6.59e-4,0.151,-5.626,0.0415,0.395,156.05
4i3E8TCZc97xLu5pjVQnch,The End Of The Innocence,Solo,FALSE,1989,1989,1,1989,18,39,93,7,1989-06-24,1989-10-21,316360,0.299,0.62,0.416,5.4e-5,0.0746,-13.048,0.0294,0.371,116.552
4i6wwcBc3Qrqir83xBdbM6,Saturday Night's Alright (For Fighting),Solo,FALSE,1973,1973,1,1973,12,27,89,52,1973-08-04,1973-10-20,294800,0.0403,0.491,0.981,0.0661,0.0657,-4.923,0.0438,0.962,152.226
4i74K8KnsOQy8mC1cQ24NL,Josie,Solo,FALSE,1978,1978,1,1978,11,24,75,2,1978-08-26,1978-11-04,270760,0.256,0.741,0.399,3.59e-4,0.0762,-11.207,0.0406,0.602,121.827
4i7mbnAXwZDFCWLcPwiq6F,Greetings (This Is Uncle Sam),Solo,FALSE,1966,1966,1,1966,1,1,1,1,1966-04-16,1966-04-16,182307,0.0503,0.296,0.354,0,0.107,-13.343,0.0313,0.535,177.537
4iAYo83eWlktjw97oebIal,I Got A Man,Solo,TRUE,1992,1993,2,1992;1993,22,26,87,51,1992-12-19,1993-05-15,232773,0.0789,0.808,0.753,0,0.341,-13.319,0.112,0.796,103.753
4iIU7YoqElLJa6gNx9mDx2,I Thank You,Solo,FALSE,1980,1980,1,1980,11,20,67,1,1980-01-19,1980-03-29,204133,0.395,0.799,0.524,1.42e-6,0.124,-12.439,0.0489,0.791,110.441
4iK3b3u7XdnC677gp9AaG9,Stop,Solo,FALSE,1966,1966,1,1966,1,3,3,3,1966-04-02,1966-04-02,126053,0.726,0.735,0.475,0,0.0678,-9.193,0.0419,0.8,112.473
4iLPK8QnOvqm0Azbsk2GDn,Don't It,Solo,FALSE,2015,2015,1,2015,20,10,57,19,2015-03-21,2015-08-01,188999,0.0484,0.573,0.824,0,0.335,-4.443,0.0373,0.668,90.966
4iLeL1aYGcQBsYcWIhXIUO,Found You,Solo,FALSE,2017,2017,1,2017,1,21,21,21,2017-09-30,2017-09-30,191733,0.0528,0.46,0.821,0,0.0818,-5.333,0.0404,0.438,164.144
4iMSIauHTuGlGPaPXotCUm,Grits Ain't Groceries (All Around The World),Solo,FALSE,1969,1969,1,1969,5,12,28,25,1969-02-01,1969-03-01,160600,0.685,0.717,0.674,2.37e-5,0.0891,-6.725,0.0881,0.899,120.859
