term,mean,sd,min,max,median,q25,q75,p10,p90,IQR,inc,inc_over_SD,inc_over_IQR
acousticness,0.26348302134238916,0.26333735990538454,1.34e-6,0.995,0.168,0.0389,0.436,0.006833000000000002,0.696,0.3971,0.1,0.37974102890653033,0.2518257365902795
artist_avg_longevity_prior,10.100206751897723,7.991169729427049,0,67,10.15,1,15.41,0,20,14.41,5,0.6256906271916327,0.3469812630117974
artist_avg_peak_rank_prior,47.93800639232921,33.00637369025793,0,100,56.61,2,74.43,0,87.167,72.43,10,0.30297178641443945,0.13806433798149936
artist_prior_n_songs,6.385800313433403,10.099207305885114,0,109,3,0.3333333333333333,8,0,17,7.666666666666667,5,0.49508836174561427,0.6521739130434783
danceability,0.600458349980024,0.15049359153776662,0.103,0.988,0.608,0.502,0.706,0.3983000000000002,0.791,0.20399999999999996,0.1,0.6644801215665376,0.4901960784313727
duration_ms,229919.6068717539,66752.33291409424,24604,1561133,223440,187200,259978,158040,303342.80000000005,72778,10000,0.14980749830675322,0.1374041605979829
energy,0.6258267748701558,0.19688968077497368,0.00664,0.998,0.641,0.482,0.784,0.355,0.88,0.30200000000000005,0.1,0.5078986344352427,0.3311258278145695
instrumentalness,0.04677856549540551,0.16693379309169293,0,0.985,9.98e-6,0,0.00109,0,0.05467000000000007,0.00109,0.1,0.5990398837045072,91.74311926605505
liveness,0.19217779165001997,0.16387354998978068,0.013,0.997,0.129,0.0883,0.249,0.0626,0.376,0.1607,0.1,0.610226604636539,0.6222775357809583
loudness,-8.83186900719137,3.595575494265846,-30.896,3.44,-8.45,-11.208,-6.033,-13.6857,-4.469899999999998,5.175,5,1.3905979746424189,0.9661835748792271
n_artists_collab,0.0882940471434279,0.37977485823594304,0,15,0,0,0,0,0,0,NA,NA,NA
song_rank_entry,20.596883739512585,18.20505601757308,1,100,16,8,27,3,44,19,10,0.5492979527416528,0.5263157894736842
speechiness,0.06761488713543748,0.07453896505653129,0.0218,0.95,0.0404,0.0318,0.063,0.0283,0.139,0.0312,0.1,1.341580204717878,3.2051282051282053
tempo,120.3033068817419,27.681885268872417,37.114,231.028,118.9305,99.68200000000002,135.88,86.0109,159.9091,36.19799999999998,10,0.36124707197037437,0.2762583568152938
valence,0.6069687924490611,0.23659508222181794,0.0349,1,0.631,0.426,0.804,0.265,0.912,0.37800000000000006,0.1,0.4226630539439774,0.26455026455026454
